year,month,decimal_date,co2,quality
1958,March,1958.2027,315.7,1
1958,April,1958.2877,317.45,1
1958,May,1958.3699,317.51,1
1958,June,1958.4548,-99.99,0
1958,July,1958.537,315.86,1
1958,August,1958.6219,314.93,1
1958,September,1958.7068,313.2,1
1958,October,1958.789,-99.99,0
1958,November,1958.874,313.33,1
1958,December,1958.9562,314.67,1
1959,January,1959.0411,315.58,1
1959,February,1959.126,316.48,1
1959,March,1959.2027,316.65,1
1959,April,1959.2877,317.72,1
1959,May,1959.3699,318.29,1
1959,June,1959.4548,318.15,1
1959,July,1959.537,316.54,1
1959,August,1959.6219,314.8,1
1959,September,1959.7068,313.84,1
1959,October,1959.789,313.33,1
1959,November,1959.874,314.81,1
1959,December,1959.9562,315.58,1
1960,January,1960.041,316.43,1
1960,February,1960.1257,316.98,1
1960,March,1960.2049,317.58,1
1960,April,1960.2896,319.03,1
1960,May,1960.3716,320.04,1
1960,June,1960.4563,319.59,1
1960,July,1960.5383,318.18,1
1960,August,1960.623,315.9,1
1960,September,1960.7077,314.17,1
1960,October,1960.7896,313.83,1
1960,November,1960.8743,315,1
1960,December,1960.9563,316.19,1
1961,January,1961.0411,316.89,1
1961,February,1961.126,317.7,1
1961,March,1961.2027,318.54,1
1961,April,1961.2877,319.48,1
1961,May,1961.3699,320.58,1
1961,June,1961.4548,319.77,1
1961,July,1961.537,318.57,1
1961,August,1961.6219,316.79,1
1961,September,1961.7068,314.99,1
1961,October,1961.789,315.31,1
1961,November,1961.874,316.1,1
1961,December,1961.9562,317.01,1
1962,January,1962.0411,317.94,1
1962,February,1962.126,318.55,1
1962,March,1962.2027,319.68,1
1962,April,1962.2877,320.57,1
1962,May,1962.3699,321.02,1
1962,June,1962.4548,320.62,1
1962,July,1962.537,319.61,1
1962,August,1962.6219,317.4,1
1962,September,1962.7068,316.25,1
1962,October,1962.789,315.42,1
1962,November,1962.874,316.69,1
1962,December,1962.9562,317.7,1
1963,January,1963.0411,318.74,1
1963,February,1963.126,319.07,1
1963,March,1963.2027,319.86,1
1963,April,1963.2877,321.38,1
1963,May,1963.3699,322.25,1
1963,June,1963.4548,321.48,1
1963,July,1963.537,319.74,1
1963,August,1963.6219,317.77,1
1963,September,1963.7068,316.21,1
1963,October,1963.789,315.99,1
1963,November,1963.874,317.07,1
1963,December,1963.9562,318.35,1
1964,January,1964.041,319.57,1
1964,February,1964.1257,-99.99,0
1964,March,1964.2049,-99.99,0
1964,April,1964.2896,-99.99,0
1964,May,1964.3716,322.26,1
1964,June,1964.4563,321.89,1
1964,July,1964.5383,320.44,1
1964,August,1964.623,318.69,1
1964,September,1964.7077,316.7,1
1964,October,1964.7896,316.87,1
1964,November,1964.8743,317.68,1
1964,December,1964.9563,318.71,1
1965,January,1965.0411,319.44,1
1965,February,1965.126,320.44,1
1965,March,1965.2027,320.89,1
1965,April,1965.2877,322.14,1
1965,May,1965.3699,322.17,1
1965,June,1965.4548,321.87,1
1965,July,1965.537,321.21,1
1965,August,1965.6219,318.87,1
1965,September,1965.7068,317.81,1
1965,October,1965.789,317.3,1
1965,November,1965.874,318.87,1
1965,December,1965.9562,319.42,1
1966,January,1966.0411,320.62,1
1966,February,1966.126,321.6,1
1966,March,1966.2027,322.39,1
1966,April,1966.2877,323.7,1
1966,May,1966.3699,324.08,1
1966,June,1966.4548,323.75,1
1966,July,1966.537,322.38,1
1966,August,1966.6219,320.36,1
1966,September,1966.7068,318.64,1
1966,October,1966.789,318.1,1
1966,November,1966.874,319.78,1
1966,December,1966.9562,321.03,1
1967,January,1967.0411,322.33,1
1967,February,1967.126,322.5,1
1967,March,1967.2027,323.04,1
